"","Domain","Mean","Head_Count","Poverty_Gap","Poverty_Severity","Gini","Quintile_Share","Quantile_10","Quantile_25","Median","Quantile_75","Quantile_90","admin0Pcod","admin1Pcod","admin2Pcod","admin2Name","area"
"73","3008",14051.7779889743,0.610194433342815,0.333900068932861,0.444583282080726,0.56288994381703,22.9932961541213,1880.71027026744,3660.68047877945,7675.66909399584,16137.8469255075,31414.8619980335,"BDI","BDI003","BDI003008","Songa",221.083155938028
"74","3009",13792.6900101731,0.615993148776344,0.338493979454035,0.450045399923395,0.561988025155539,22.9567627842318,1845.51214868446,3607.94984277428,7539.26042845832,15878.5687081193,30831.202006169,"BDI","BDI003","BDI003009","Vyanda",221.92592173415
"75","4001",13937.6351215417,0.619509506834478,0.342791916057632,0.454704792411377,0.573023613629716,24.2350005924721,1795.30613602384,3513.53636986581,7424.08562083433,15674.2967798933,30589.3857062089,"BDI","BDI004","BDI004001","Cankuzo",472.074319784854
"76","4002",12277.8329816675,0.656123722143848,0.371196919978195,0.489043870620325,0.562021449762837,22.9113026471827,1646.37230723442,3206.76577267539,6702.19523184118,14127.4855577248,27519.0664827589,"BDI","BDI004","BDI004002","Cendajuru",180.466808538418
"77","4003",13110.8368319166,0.633321965950178,0.351780402005967,0.46617753391443,0.5616579284713,22.8117978043589,1762.59714175173,3427.96498503939,7171.98698451799,15077.0724657338,29360.4892205365,"BDI","BDI004","BDI004003","Gisagara",329.616233428247
"78","4004",13393.5679636367,0.624681119773611,0.344859720957772,0.457714842763973,0.561742339585609,22.9285286695562,1792.62916127765,3502.00183143012,7352.22472076571,15386.2423120457,30008.3904745443,"BDI","BDI004","BDI004004","Kigamba",542.444216948198
"79","4005",11429.5754641705,0.677390031706266,0.389231325238695,0.51012267680365,0.560782064343591,22.7557380487161,1541.24915867661,2998.26244616194,6279.51244663057,13142.6837442955,25602.0138014695,"BDI","BDI004","BDI004005","Mishiha",365.733710512929
"80","5001",14659.1621964999,0.599537554300072,0.3249174487066,0.433833911185235,0.567303338791941,23.5696562675799,1928.8923400206,3765.12269228192,7906.81920703941,16661.2907055103,32755.6759949071,"BDI","BDI005","BDI005001","Buganda",178.670531372792
"81","5002",12626.5721171015,0.645168014174395,0.361211342887183,0.477422539308066,0.561820180001253,22.8779535408723,1691.52296869879,3303.22862308178,6923.16163399539,14493.6194569422,28267.3977886344,"BDI","BDI005","BDI005002","Bukinanyana",328.117282720344
"82","5003",14693.2041803647,0.595355717581868,0.321712175629936,0.430044351803881,0.564404837814391,23.1456811392244,1963.76291768583,3811.69734855899,7998.01642036627,16792.9486916168,32823.436786544,"BDI","BDI005","BDI005003","Mabayi",328.459390663775
"83","5004",13621.0492680926,0.620742561393161,0.341999646692596,0.454398136750507,0.563839613888439,23.1029466189393,1816.62991995066,3537.44809911525,7425.13080429799,15584.8437757816,30362.1818049934,"BDI","BDI005","BDI005004","Mugina",282.403618687327
"84","5005",12350.0531757282,0.653311181313179,0.368029700837461,0.485425407524276,0.562313435286961,22.9002153317853,1661.56580478647,3227.76422903701,6757.469120217,14148.6945114968,27604.8804629142,"BDI","BDI005","BDI005005","Murwi",249.6728436646
"85","5006",17722.7892330449,0.538450237279282,0.281609093397882,0.37988601713902,0.574559467979806,24.8523317907095,2235.30658830244,4398.18457666469,9370.0916054925,20053.1312604929,39506.1190550405,"BDI","BDI005","BDI005006","Rugombo",201.665018549429
"86","6001",11729.0440536308,0.670979978940919,0.383346361243649,0.503283086605021,0.562783406210183,22.9536435081644,1573.30336445933,3059.04059214037,6421.59938101944,13423.3832880018,26176.0973365439,"BDI","BDI006","BDI006001","Bugendana",270.228689057299
"87","6002",13600.3699854807,0.619930584034296,0.341300592307107,0.453589577376524,0.560688956985393,22.8068975630721,1832.6359257745,3560.03875266997,7455.38389277005,15708.2777110606,30577.0863965224,"BDI","BDI006","BDI006002","Bukirasazi",82.5064324672529
"88","6003",13000.3594124769,0.635560590753063,0.353732171133315,0.468386910169096,0.561539582891199,22.8034412299832,1754.49261681903,3404.5736469744,7129.93883199689,14921.7187659338,29173.0963837149,"BDI","BDI006","BDI006003","Buraza",147.865696937376
"89","6004",13425.1609969934,0.62483127970892,0.345389889804585,0.458300845973983,0.562429641892116,22.993013561824,1799.8550995378,3497.15605940433,7336.62971263121,15432.4632155544,30080.4364631524,"BDI","BDI006","BDI006004","Giheta",152.583493126959
"90","6005",13525.834770917,0.622600869715245,0.343271817715273,0.455959323915185,0.562600867351213,22.9680545838995,1813.99369746015,3531.68552870066,7404.2217453571,15518.1388655949,30237.9773870681,"BDI","BDI006","BDI006005","Gishubi",133.208262425925
"91","6006",65120.6521615597,0.547211542243809,0.291909585360879,0.391262333121213,0.826559653469724,139.958051587653,2093.60737744579,4196.6778662149,9099.1881325725,19869.5875458073,40611.5151897221,"BDI","BDI006","BDI006006","Gitega",302.529640926481
"92","6007",13512.7320282763,0.623735848874327,0.344010686046235,0.45685014091254,0.562790719246458,22.9913908221345,1810.21701885778,3526.69929104971,7388.67004618076,15477.2556352115,30161.03019025,"BDI","BDI006","BDI006007","Itaba",214.637411222093
"93","6008",13131.3557192919,0.633421039817956,0.352148003081538,0.466433278573218,0.562159399968259,22.8685479169099,1764.01530359636,3430.45703555261,7190.34481822528,15049.3325259327,29315.1155283801,"BDI","BDI006","BDI006008","Makebuko",169.910058688064
"94","6009",14947.5694978778,0.607222002073668,0.330637606631595,0.440553562606162,0.585830954649027,25.2726802079819,1882.14084470205,3674.19584548777,7753.87490092177,16191.8146788579,31634.8827063358,"BDI","BDI006","BDI006009","Mutaho",148.045154963063
"95","6010",12008.1785650898,0.662688017547962,0.37650390648036,0.495163938156842,0.561551237215443,22.878191028469,1610.77300234062,3147.05971900858,6593.01100453366,13742.9311000819,26866.4064618954,"BDI","BDI006","BDI006010","Ryansoro",163.923397288227
"96","6011",13570.852239104,0.62275568609063,0.343399309819233,0.456129183443536,0.563117136579862,22.9944421749211,1815.54082196861,3529.8971008323,7393.66819843425,15587.1845618457,30400.2821570175,"BDI","BDI006","BDI006011","Nyanrusange",116.570366754175
